datetime,주오염물질,등급,지수,등급,PM10,등급,PM2.5,등급,오존,등급,이산화질소,등급,일산화탄소,등급,아황산가스
2024-10-31:24,이산화질소,보통,84,보통,42,보통,27,좋음,0.0017,보통,0.0505,좋음,0.89,좋음,0.0017
2024-10-31:23,이산화질소,보통,88,보통,44,보통,29,좋음,0.0011,보통,0.0529,좋음,0.9,좋음,0.0018
2024-10-31:22,이산화질소,보통,94,보통,44,보통,29,좋음,0.0015,보통,0.0561,좋음,1.21,좋음,0.002
2024-10-31:21,이산화질소,보통,102,보통,40,보통,28,좋음,0.0029,나쁨,0.061,좋음,1.24,좋음,0.002
2024-10-31:20,이산화질소,보통,107,보통,35,보통,24,좋음,0.0054,나쁨,0.066,좋음,1.19,좋음,0.002
2024-10-31:19,이산화질소,보통,99,좋음,29,보통,19,좋음,0.0124,보통,0.0593,좋음,0.89,좋음,0.0017
2024-10-31:18,이산화질소,보통,77,좋음,25,보통,17,좋음,0.0246,보통,0.0462,좋음,0.58,좋음,0.0016
2024-10-31:17,오존,좋음,72,좋음,24,좋음,15,보통,0.0561,좋음,0.017,좋음,0.33,좋음,0.0016
2024-10-31:16,오존,좋음,76,좋음,22,좋음,14,보통,0.0609,좋음,0.0133,좋음,0.32,좋음,0.0016
2024-10-31:15,오존,보통,73,좋음,24,보통,16,보통,0.057,좋음,0.0131,좋음,0.33,좋음,0.0016
2024-10-31:14,오존,보통,71,좋음,27,보통,20,보통,0.0547,좋음,0.012,좋음,0.37,좋음,0.0017
2024-10-31:13,PM2.5,보통,69,보통,32,보통,23,보통,0.0502,좋음,0.0123,좋음,0.4,좋음,0.0016
2024-10-31:12,PM2.5,보통,77,보통,37,보통,26,보통,0.0424,좋음,0.0157,좋음,0.45,좋음,0.0018
2024-10-31:11,PM2.5,보통,82,보통,40,보통,28,좋음,0.0279,좋음,0.0219,좋음,0.51,좋음,0.0022
2024-10-31:10,PM2.5,보통,82,보통,40,보통,28,좋음,0.0152,좋음,0.0291,좋음,0.59,좋음,0.0029
2024-10-31:09,PM2.5,보통,79,보통,40,보통,27,좋음,0.0039,보통,0.0377,좋음,0.69,좋음,0.0025
2024-10-31:08,PM2.5,보통,79,보통,40,보통,27,좋음,0.0022,보통,0.0384,좋음,0.6,좋음,0.0024
2024-10-31:07,PM2.5,보통,79,보통,41,보통,27,좋음,0.0082,보통,0.0319,좋음,0.52,좋음,0.0019
2024-10-31:06,PM2.5,보통,79,보통,42,보통,27,좋음,0.0128,좋음,0.0263,좋음,0.52,좋음,0.0018
2024-10-31:05,PM2.5,보통,82,보통,43,보통,28,좋음,0.0164,좋음,0.0234,좋음,0.52,좋음,0.0019
2024-10-31:04,PM2.5,보통,79,보통,41,보통,27,좋음,0.0155,좋음,0.0243,좋음,0.57,좋음,0.0018
2024-10-31:03,PM2.5,보통,77,보통,40,보통,26,좋음,0.0016,보통,0.0371,좋음,0.7,좋음,0.0015
